mass,log_mass,year,reclat,reclong,fall,recclass
392.0,5.971261839790462,2008,0.0,0.0,Found,Eucrite
16.17,2.783157673589016,1986,-71.5,35.66667,Found,CM2
13.6,2.6100697927420065,2007,0.0,0.0,Found,CM2
520.0,6.253828811575473,2011,0.0,0.0,Found,L6
114.0,4.736198448394496,1974,-71.81667,36.46389,Found,H5
30.3,3.4111477125153233,1990,-76.28214,156.47376,Found,L6
13.03,2.567254391136754,2003,-72.78167,75.30389,Found,L5
236.0,5.4638318050256105,2000,19.30133,54.82367,Found,L6
9.16,2.214846178686039,1994,-71.54694,35.40194,Found,H4
148.8,5.002603122398992,2008,0.0,0.0,Found,LL5
10.11,2.3135250330323798,2002,-84.21667,160.5,Found,CM2
230.9,5.44198471636045,1982,-85.16514,-94.63074,Found,H5
672.4,6.510853401534461,1978,-76.71667,159.66667,Found,L6
1.7,0.5306282510621704,1986,-84.25705,161.4721,Found,H5
1103.15,7.005925002754381,1987,-72.0,26.0,Found,H4
985.0,6.892641641172089,1999,19.14217,54.78683,Found,H4
8.4,2.128231705849268,1984,-76.75646,158.91429,Found,EH3
30.0,3.4011973816621555,2008,0.0,0.0,Found,LL6
33.5,3.5115454388310208,1990,-76.27045,156.40788,Found,L6
8.0,2.0794415416798357,1997,-84.0,168.0,Found,LL5
27.9,3.32862668882732,1985,-84.26719,161.40263,Found,H6
188.2,5.23750522715128,2007,0.0,0.0,Found,H4
433.0,6.07073772800249,1990,27.46667,3.71667,Found,LL3.8-6
20.5,3.0204248861443626,1997,-72.95222,160.51778,Found,H6
10.17,2.3194422100604686,2003,-72.95275,160.49833,Found,H5
8.5,2.1400661634962708,2010,0.0,0.0,Found,H6
723.8,6.584515111129642,1993,-84.61319,162.38976,Found,H5
558.6,6.325433653511077,2003,-72.98444,75.225,Found,L6
15.88,2.7650604558189897,1974,-71.5,35.66667,Found,H4
0.76,-0.2744368457017603,1986,-71.5,35.66667,Found,H4
58.1,4.062165663857866,1979,-71.5,35.66667,Found,H4
